preview_frame_id,host_epoch_ns,host_monotonic_ns,video_source_epoch_ns,video_pipeline_latency_ms,telemetry_match_delta_ms,sync_offset_ms,decoded_frame_seq,dropped_frames,telemetry_session,telemetry_seq,telemetry_device_ms,tracking_frame_id
196,1785481820789577700,195091541862800,1785481820687056128,102.521572,-8.301528,0.0,196,0,000070ca,6672,214866,8486
197,1785481820839068500,195091591353500,1785481820736911104,102.157396,-8.199104,0.0,197,0,000070ca,6673,214911,8488
198,1785481820891116000,195091643401200,1785481820787444992,103.671008,3.078508,0.0,198,0,000070ca,6675,214969,8490
199,1785481820943903500,195091696188900,1785481820837078016,106.825484,12.002784,0.0,199,0,000070ca,6678,215033,8492
200,1785481820988671200,195091740956500,1785481820888932864,99.738336,-9.531464,0.0,200,0,000070ca,6679,215064,8493
201,1785481821041064600,195091793349900,1785481820936911104,104.153496,-13.984404,0.0,201,0,000070ca,6680,215101,8494
202,1785481821089217000,195091841502100,1785481820986877952,102.339048,-5.153352,0.0,202,0,000070ca,6682,215164,8496
203,1785481821139166500,195091891451600,1785481821038711040,100.45546,8.98726,0.0,203,0,000070ca,6684,215227,8498
204,1785481821189199600,195091941484700,1785481821086921984,102.277616,-13.045384,0.0,204,0,000070ca,6685,215259,8499
205,1785481821239691700,195091991976900,1785481821136878080,102.81362,-9.70888,0.0,205,0,000070ca,6686,215314,8501
206,1785481821289236500,195092041521600,1785481821186934016,102.302484,-6.765016,0.0,206,0,000070ca,6688,215366,8503
207,1785481821339755900,195092092041200,1785481821237533184,102.222716,6.671316,0.0,207,0,000070ca,6690,215426,8505
208,1785481821389807900,195092142092900,1785481821287188992,102.618908,-9.978392,0.0,208,0,000070ca,6691,215460,8506
209,1785481821438577000,195092190862300,1785481821337145088,101.431912,20.078512,0.0,209,0,000070ca,6693,215547,8509
210,1785481821489131700,195092241416800,1785481821387821824,101.309876,2.686976,0.0,210,0,000070ca,6694,215575,8510
211,1785481821539821400,195092292106400,1785481821436899840,102.92156,-27.20724,0.0,211,0,000070ca,6695,215600,8511
212,1785481821589906400,195092342191400,1785481821487111168,102.795232,-10.797868,0.0,212,0,000070ca,6696,215659,8513
213,1785481821639698600,195092391983700,1785481821537167104,102.531496,-7.687604,0.0,213,0,000070ca,6697,215712,8515
214,1785481821689597600,195092441882700,1785481821587311104,102.286496,-8.243704,0.0,214,0,000070ca,6698,215752,8516
215,1785481821740350400,195092492635600,1785481821637422080,102.92832,7.58102,0.0,215,0,000070ca,6700,215826,8518
216,1785481821790624800,195092542910000,1785481821687099904,103.524896,-12.771504,0.0,216,0,000070ca,6701,215858,8519
217,1785481821840445600,195092592730900,1785481821737622016,102.823584,8.898884,0.0,217,0,000070ca,6703,215933,8521
218,1785481821889643700,195092641929000,1785481821787721984,101.921716,-22.224084,0.0,218,0,000070ca,6704,215959,8522
219,1785481821939862800,195092692148200,1785481821837656064,102.206736,-6.817764,0.0,219,0,000070ca,6706,216025,8525
220,1785481821989794600,195092742079800,1785481821887078144,102.716456,-9.084144,0.0,220,0,000070ca,6708,216067,8527
221,1785481822039747400,195092792032600,1785481821937310976,102.436424,-7.041276,0.0,221,0,000070ca,6710,216124,8529
